Key,Description,Standard
SAY.TV Dialogue (1).96.,,"LADIES AND GENTELMEN, WELCOME!"
SAY.TV Dialogue (1).97.,,"My name is Seth, and today's Public Service Announcement is dedicated to  — Energy Consumption!"
SAY.TV Dialogue (1).98.,,THIS PROGRAM IS BROUGHT TO YOU BY THE SALVATION PROJECT.
SAY.TV Dialogue (1).99.,,"So, as we previously stated, energy consumption is an extremely important issue! "
SAY.TV Dialogue (1).117.,,"However, sometimes, we have to ignore it, to protect ourselves from the evils of the world!"
SAY.TV Dialogue (1).100.,,"As you all know, satanism has started to rapidly grow in our coummunities!"
SAY.TV Dialogue (1).110.,,"Since our last program, many of our viewers relayed to us their succsesses of protecting their house from the devil's propaganda!"
SAY.TV Dialogue (1).101.,,But that is not enough!
SAY.TV Dialogue (1).122.,,"As Jeremiah 29:11 says: For I know the plans I have for you, declares the Lord, plans for welfare and not for evil, to give you a future and a hope."
SAY.TV Dialogue (1).102.,,"The Devil comes at the devil's hour! But using science, our specialists discovered, that the correct time of the devil's hour is 8 p.m. !"
SAY.TV Dialogue (1).103.,,"The Devil fears The Light! Even the smallest darkness, can bring the devil, so we shall shine the light on it, and bring safety to our homes!"
SAY.TV Dialogue (1).104.,,"We implore you - turn on every light in the home until 8 p.m., and make your house safer! The Devil shall not pass!"
SAY.TV Dialogue (1).105.,,"Be careful, because if you don't care, THEY WILL."
SAY.TV Dialogue (1).106.,,"This was a Salvation Project program, until the next time!\nSeth out!"
